attack,switches,rate,image,label,score
spa,,,69515.png,cover,0.025565
chi,,,69823.png,cover,0.0
rs,,,69823.png,cover,0.000935
spa,,,69823.png,cover,-0.002868
chi,,,70011.png,cover,0.832114
rs,,,70011.png,cover,0.021477
spa,,,70011.png,cover,0.008307
chi,,,70283.png,cover,0.877236
rs,,,70283.png,cover,-0.08957
spa,,,70283.png,cover,-0.058172
chi,,,70293.png,cover,0.0
rs,,,70293.png,cover,0.0948
spa,,,70293.png,cover,0.046532
chi,,,70576.png,cover,0.0
rs,,,70576.png,cover,-0.001178
spa,,,70576.png,cover,-0.000604
chi,,,70679.png,cover,0.0
rs,,,70679.png,cover,-0.007121
spa,,,70679.png,cover,0.002853
chi,,,70698.png,cover,0.994205
rs,,,70698.png,cover,0.02412
spa,,,70698.png,cover,-0.01003
chi,,,70856.png,cover,0.0
rs,,,70856.png,cover,-0.00222
spa,,,70856.png,cover,0.00411
chi,,,71427.png,cover,0.0
rs,,,71427.png,cover,0.010558
spa,,,71427.png,cover,0.004608
chi,,,71483.png,cover,0.0
rs,,,71483.png,cover,0.001967
spa,,,71483.png,cover,-0.00559
chi,,,71820.png,cover,0.0
rs,,,71820.png,cover,0.150336
spa,,,71820.png,cover,0.121106
chi,,,72358.png,cover,0.0
rs,,,72358.png,cover,0.114303
spa,,,72358.png,cover,0.068682
chi,,,72604.png,cover,0.0
rs,,,72604.png,cover,0.015906
spa,,,72604.png,cover,0.024009
chi,,,72668.png,cover,0.0
rs,,,72668.png,cover,-0.016882
spa,,,72668.png,cover,0.002414
chi,,,72693.png,cover,0.0
rs,,,72693.png,cover,0.256177
spa,,,72693.png,cover,0.191793
chi,,,73001.png,cover,0.0
rs,,,73001.png,cover,0.048698
spa,,,73001.png,cover,0.044442
chi,,,73386.png,cover,0.0
rs,,,73386.png,cover,0.069824
spa,,,73386.png,cover,0.10348
chi,,,73564.png,cover,0.0
rs,,,73564.png,cover,-0.008705
spa,,,73564.png,cover,-0.01633
chi,,,73793.png,cover,0.0
rs,,,73793.png,cover,0.006959
spa,,,73793.png,cover,-0.021843
chi,,,74086.png,cover,0.0
rs,,,74086.png,cover,0.009068
spa,,,74086.png,cover,0.018879
chi,,,74594.png,cover,0.999988
rs,,,74594.png,cover,-0.00918
spa,,,74594.png,cover,-0.03071
chi,,,75526.png,cover,0.956378
rs,,,75526.png,cover,-0.024143
spa,,,75526.png,cover,-0.032789
chi,,,75881.png,cover,0.0
rs,,,75881.png,cover,0.016053
spa,,,75881.png,cover,0.011371
chi,,,75915.png,cover,0.0
rs,,,75915.png,cover,0.008045
spa,,,75915.png,cover,0.007633
chi,,,76485.png,cover,0.0
rs,,,76485.png,cover,0.211165
spa,,,76485.png,cover,0.134733
chi,,,76570.png,cover,0.00018
rs,,,76570.png,cover,0.110487
spa,,,76570.png,cover,-0.020515
chi,,,77111.png,cover,0.125436
rs,,,77111.png,cover,-0.005806
spa,,,77111.png,cover,0.228324
chi,,,77129.png,cover,0.999998
rs,,,77129.png,cover,0.020329
spa,,,77129.png,cover,-0.107838
chi,,,77237.png,cover,1.0
rs,,,77237.png,cover,-0.065707
spa,,,77237.png,cover,-0.16138
chi,,,77925.png,cover,0.993738
rs,,,77925.png,cover,-0.128128
spa,,,77925.png,cover,-0.061782
chi,,,77993.png,cover,0.806922
rs,,,77993.png,cover,0.08771
spa,,,77993.png,cover,-0.118502
chi,,,78194.png,cover,0.298654
rs,,,78194.png,cover,-0.019159
spa,,,78194.png,cover,-0.008241
chi,,,78505.png,cover,0.999995
rs,,,78505.png,cover,-0.060798
spa,,,78505.png,cover,-0.011265
chi,,,78908.png,cover,0.036173
rs,,,78908.png,cover,0.255875
spa,,,78908.png,cover,0.244529
chi,,,79277.png,cover,1.0
rs,,,79277.png,cover,0.038446
spa,,,79277.png,cover,-0.025225
chi,,,79508.png,cover,0.999999
rs,,,79508.png,cover,-0.030291
spa,,,79508.png,cover,-0.0372
chi,,,79819.png,cover,0.995197
rs,,,79819.png,cover,0.006792
spa,,,79819.png,cover,-0.028442
chi,,,79841.png,cover,0.86778
rs,,,79841.png,cover,0.020724
spa,,,79841.png,cover,-0.012846
chi,000,0.05,00054.png,stego,0.011749
rs,000,0.05,00054.png,stego,0.000946
spa,000,0.05,00054.png,stego,0.007337
chi,000,0.05,00075.png,stego,0.0
rs,000,0.05,00075.png,stego,0.016529
spa,000,0.05,00075.png,stego,-0.002663
chi,000,0.05,00283.png,stego,0.96179
rs,000,0.05,00283.png,stego,0.052823
spa,000,0.05,00283.png,stego,0.036014
chi,000,0.05,00465.png,stego,4e-06
rs,000,0.05,00465.png,stego,0.017897
spa,000,0.05,00465.png,stego,-0.009252
chi,000,0.05,01221.png,stego,0.998569
rs,000,0.05,01221.png,stego,0.001733
spa,000,0.05,01221.png,stego,0.043946
chi,000,0.05,01268.png,stego,0.0
rs,000,0.05,01268.png,stego,0.00262
